City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,isafjordur,66.0755,-23.124,2.87,99,100,6.79,IS,1684031874
112,gbarnga,6.9956,-9.4722,23.02,100,100,0.73,LR,1684031874
113,lerwick,60.1545,-1.1494,8.0,93,100,7.48,GB,1684031874
114,tonk,26.1667,75.7833,35.26,18,15,6.91,IN,1684031875
115,superior,46.7208,-92.1041,13.26,56,0,8.23,US,1684031858
116,olonkinbyen,70.9221,-8.7187,0.86,99,100,6.67,SJ,1684031875
117,nagato,34.3833,131.2,18.78,80,28,1.36,JP,1684031875
118,rosarito,32.3333,-117.0333,16.46,82,39,1.26,MX,1684031875
119,manokwari,-0.8667,134.0833,30.25,68,28,4.55,ID,1684031876
120,yantzaza,-3.8278,-78.7594,19.64,99,93,0.1,EC,1684031876
121,avarua,-21.2078,-159.775,27.03,83,75,3.6,CK,1684031876
122,chiras,35.4167,65.9823,8.49,52,0,1.73,AF,1684031876
123,stanley,54.868,-1.6985,7.51,92,100,1.74,GB,1684031645
124,port alfred,-33.5906,26.891,16.77,87,100,2.68,ZA,1684031876
125,howard springs,-12.497,131.047,31.57,61,38,2.52,AU,1684031877
126,toliara,-23.35,43.6667,21.48,81,26,2.76,MG,1684031877
127,posto fiscal rolim de moura,-13.0833,-62.2667,21.97,84,99,1.25,BR,1684031877
128,errachidia,31.9275,-4.4285,18.03,34,40,7.72,MA,1684031877
129,lihue,21.9789,-159.3672,26.58,87,100,7.2,US,1684031878
130,atchison,39.563,-95.1216,23.32,65,95,2.61,US,1684031878
131,qaqortoq,60.7167,-46.0333,0.6,85,100,0.58,GL,1684031878
132,paita,-5.0892,-81.1144,24.85,79,1,5.8,PE,1684031878
133,bethel,41.3712,-73.414,20.2,51,82,2.82,US,1684031878
134,kavieng,-2.5744,150.7967,28.44,75,99,0.48,PG,1684031878
135,baiti,13.745,-14.7482,26.66,54,49,4.71,SN,1684031879
136,saudarkrokur,65.7461,-19.6394,3.12,99,100,3.92,IS,1684031879
137,panorama,40.5878,23.0315,13.63,84,20,1.34,GR,1684031879
138,taghazout,30.5426,-9.7112,17.43,64,0,1.85,MA,1684031879
139,nalut,30.3333,10.85,26.4,22,100,5.7,LY,1684031879
140,dadukou,26.5479,101.7054,23.44,49,100,0.8,CN,1684031880
141,longyearbyen,78.2186,15.6401,-2.67,95,100,7.05,SJ,1684031783
142,tubarjal,30.4999,38.216,16.95,57,0,3.88,SA,1684031880
143,jacmel,18.2342,-72.5347,25.27,83,100,0.54,HT,1684031880
144,alakurtti,66.9672,30.3491,4.31,98,96,0.92,RU,1684031880
145,ruska poliana,49.417,31.9201,11.85,76,100,1.61,UA,1684031881
146,kastsyukovichy,53.3516,32.0506,9.42,71,27,2.17,BY,1684031881
147,al bawiti,28.3492,28.8659,16.53,57,96,3.51,EG,1684031881
148,launceston,-41.45,147.1667,15.9,73,100,6.17,AU,1684031881
149,saldanha,-33.0117,17.9442,12.03,79,0,7.58,ZA,1684031881
150,qarqaraly,49.4058,75.4742,14.2,35,92,9.02,KZ,1684031882
151,tam ky,15.5667,108.4833,28.71,80,91,3.7,VN,1684031882
152,hammerfest,70.6634,23.6821,6.25,87,100,9.26,NO,1684031882
153,luganville,-15.5333,167.1667,27.04,82,94,5.24,VU,1684031883
154,taltal,-25.4,-70.4833,17.57,84,100,0.22,CL,1684031883
155,colonia,50.9333,6.95,12.14,90,17,1.03,DE,1684031883
156,bredasdorp,-34.5322,20.0403,13.62,72,89,5.61,ZA,1684031884
157,paysandu,-32.3214,-58.0756,15.34,74,8,3.05,UY,1684031825
158,smithers,54.7804,-127.1743,22.18,37,75,2.06,CA,1684031884
159,arteche,12.2645,125.4048,29.81,65,82,2.33,PH,1684031885
160,lahij,13.1667,44.5833,27.54,68,0,0.85,YE,1684031885
161,addis ababa,9.025,38.7469,13.49,88,40,2.06,ET,1684031885
162,port elizabeth,-33.918,25.5701,16.16,94,40,5.14,ZA,1684031885
163,alva,56.1528,-3.8051,12.19,89,100,0.89,GB,1684031886
164,krasnoslobodsk,48.7072,44.5714,9.9,71,0,2.0,RU,1684031886
165,ola,59.5833,151.2833,2.86,95,100,2.95,RU,1684031886
166,sarmiento,-45.5882,-69.07,12.76,64,84,1.74,AR,1684031886
167,filingue,14.3521,3.3168,31.24,38,87,2.96,NE,1684031887
168,ust'-ilimsk,58.0006,102.6619,2.51,40,90,5.18,RU,1684031887
169,lalsot,26.5667,76.3333,35.61,16,30,6.41,IN,1684031887
170,flying fish cove,-10.4217,105.6791,27.82,74,75,7.72,CX,1684031888
171,vernon,50.2581,-119.2691,28.2,29,99,0.0,CA,1684031888
172,bouarfa,32.53,-1.95,11.15,52,75,10.09,MA,1684031888
173,quellon,-43.1167,-73.6167,14.14,100,100,1.03,CL,1684031888
174,goundam,16.4145,-3.6708,33.08,28,90,0.68,ML,1684031888
175,nanakuli,21.3906,-158.1547,27.97,56,100,3.6,US,1684031889
176,st. john's,47.5649,-52.7093,5.44,96,100,6.17,CA,1684031770
177,cidreira,-30.1811,-50.2056,14.17,73,42,3.1,BR,1684031889
178,nemuro,43.3236,145.575,8.92,96,70,7.46,JP,1684031889
179,malango,-2.9627,119.9001,28.11,58,14,1.53,ID,1684031890
180,oranjestad,12.524,-70.027,27.97,86,20,11.32,AW,1684031882
181,mananjary,-21.2167,48.3333,21.76,92,29,1.2,MG,1684031890
182,monteria,8.748,-75.8814,28.95,79,40,1.03,CO,1684031890
183,coquimbo,-29.9533,-71.3436,12.85,100,0,0.0,CL,1684031891
184,port saint john's,-31.6229,29.5448,18.77,87,100,2.3,ZA,1684031891
185,selfoss,63.9331,-20.9971,5.02,95,100,10.42,IS,1684031891
186,miquelon,47.0975,-56.3814,4.0,99,100,5.16,PM,1684031891
187,novyye burasy,52.1324,46.0714,11.3,80,52,2.67,RU,1684031892
188,lompoc,34.6391,-120.4579,16.99,91,100,2.57,US,1684031892
189,moroni,-11.7022,43.2551,25.61,79,42,2.92,KM,1684031892
190,lebu,-37.6167,-73.65,11.76,91,100,3.45,CL,1684031892
191,kalach,50.4258,41.0261,11.44,81,15,1.68,RU,1684031893
192,praya,14.9215,-23.5087,23.3,73,75,4.12,CV,1684031893
193,dongola,19.1667,30.4833,25.39,13,0,5.74,SD,1684031894
194,caiaponia,-16.9567,-51.8103,15.97,61,28,1.89,BR,1684031894
195,lodja,-3.4833,23.4333,22.35,88,87,0.74,CD,1684031894
196,flowery branch,34.1851,-83.9252,23.79,87,0,2.06,US,1684031896
197,tazovsky,67.4667,78.7,-7.72,90,100,7.99,RU,1684031896
198,aginskoye,51.1,114.53,13.1,24,62,3.31,RU,1684031896
199,ambares-et-lagrave,44.9167,-0.4833,12.47,95,5,2.47,FR,1684031897
200,kabalo,-6.05,26.9167,21.19,89,88,1.51,CD,1684031897
201,sebastopol,44.6,33.5333,12.6,61,89,2.28,UA,1684031897
202,afaahiti,-17.75,-149.2833,28.93,81,62,5.65,PF,1684031898
203,walvis bay,-22.9575,14.5053,12.27,93,1,4.12,NA,1684031898
204,pacasmayo,-7.4006,-79.5714,23.53,80,0,3.86,PE,1684031898
205,zaltan,32.947,11.8665,19.48,85,52,6.97,LY,1684031899
206,khovd,48.0056,91.6419,19.66,25,13,5.55,MN,1684031899
207,bangui,4.3612,18.555,21.9,95,68,1.22,CF,1684031899
208,manta,-0.95,-80.7333,25.88,83,40,5.14,EC,1684031900
209,al hasakah,36.5024,40.7477,18.56,45,0,7.76,SY,1684031606
210,kapa'a,22.0752,-159.319,26.99,86,100,7.2,US,1684031900
211,atasu,48.6814,71.6433,14.8,40,68,5.22,KZ,1684031900
212,porto-vecchio,41.591,9.2795,11.74,93,40,1.54,FR,1684031901
213,radashkovichy,54.1551,27.2424,10.31,74,16,2.07,BY,1684031901
214,lospalos,-8.5186,127.0025,25.82,63,46,5.66,TL,1684031901
215,moussoro,13.6408,16.4901,31.33,18,100,3.35,TD,1684031901
216,ancud,-41.8697,-73.8203,12.71,91,100,3.73,CL,1684031902
217,timimoun,29.2639,0.231,23.19,31,2,9.33,DZ,1684031902
218,nelson bay,-32.7167,152.15,21.03,81,38,0.89,AU,1684031902
219,hohhot,40.8106,111.6522,22.16,21,0,2.0,CN,1684031902
220,yuzhno-kurilsk,44.0306,145.8556,10.15,87,100,4.77,RU,1684031903
221,at taraf,25.3628,49.725,29.3,14,20,4.77,SA,1684031903
222,yakeshi,49.2833,120.7333,16.45,31,100,5.39,CN,1684031903
223,uglegorsk,49.0833,142.0333,11.45,69,100,6.69,RU,1684031904
224,fortuna,40.5982,-124.1573,14.4,90,100,3.6,US,1684031904
225,hilo,19.7297,-155.09,27.38,76,100,3.6,US,1684031905
226,amilly,47.9728,2.7719,10.08,97,11,2.97,FR,1684031905
227,ust-nera,64.5667,143.2,1.09,66,96,2.16,RU,1684031905
228,retreat,38.8245,-85.8533,21.88,96,100,2.86,US,1684031906
229,chuhar jamali,24.3895,67.9923,30.36,68,0,7.87,PK,1684031906
230,constantia,44.1833,28.65,8.17,60,72,1.66,RO,1684031906
231,ghanzi,-21.5667,21.7833,17.69,33,60,2.11,BW,1684031907
232,thulamahashi,-24.7246,31.1994,20.28,95,18,1.44,ZA,1684031907
233,arraial do cabo,-22.9661,-42.0278,21.25,65,98,0.86,BR,1684031908
234,kapuskasing,49.4169,-82.4331,8.05,39,20,2.57,CA,1684031908
235,nova sintra,14.8667,-24.7167,19.9,81,32,6.25,CV,1684031908
236,saint-philippe,-21.3585,55.7679,22.77,81,40,1.73,RE,1684031908
237,vitorino freire,-4.0667,-45.1667,23.26,97,84,1.58,BR,1684031909
238,nuuk,64.1835,-51.7216,-0.66,80,100,2.57,GL,1684031909
239,vejalpur,22.6833,73.5667,32.35,38,0,3.99,IN,1684031909
240,mahdia,35.5047,11.0622,18.97,82,100,12.3,TN,1684031910
241,thompson,55.7435,-97.8558,20.09,26,75,3.09,CA,1684031910
242,port augusta,-32.5,137.7667,22.43,27,55,2.0,AU,1684031910
243,beruniy,41.6911,60.7525,17.98,36,0,6.17,UZ,1684031910
244,borzya,50.3833,116.5167,13.84,27,61,3.61,RU,1684031910
245,arroyo,41.6096,-4.7969,6.02,93,0,1.03,ES,1684031911
246,williams lake,52.1415,-122.1445,26.76,25,40,3.6,CA,1684031714
247,bani suwayf,29.0744,31.0979,17.42,66,100,5.48,EG,1684031911
248,fray bentos,-33.1325,-58.2956,15.96,82,11,2.86,UY,1684031912
249,zhanibek,49.4167,46.85,13.97,68,71,2.58,KZ,1684031912
250,seaside,36.6111,-121.8516,18.73,88,0,2.06,US,1684031840
